sdgs,"[1000.0, 63]"
heat,"[0.0178103246470166, 64]"
2019,"[0.01779344426790432, 99]"
innovation,"[0.017791517120356214, 36]"
accelerate,"[0.017692096138318136, 62]"
thank,"[0.01768368887252659, 61]"
solution,"[0.017615012975457128, 123]"
subsidy,"[0.017610723606147193, 36]"
intense,"[0.01760056737344852, 35]"
crisis,"[0.017561915792197638, 166]"
underline,"[0.017557214225658736, 37]"
protect,"[0.017532164104738186, 162]"
china,"[0.017532130084132302, 44]"
geneva,"[0.01750868510217448, 50]"
vulnerability,"[0.017467954785408767, 48]"
region,"[0.017466581655810227, 174]"
forecast,"[0.017465492425623078, 37]"
quality,"[0.017455781296716804, 45]"
destructive,"[0.017333340227724578, 34]"
risk,"[0.017306103742326773, 197]"
spokesperson,"[0.01727210671326263, 45]"
emergency,"[0.01724968748451757, 99]"
transition,"[0.017237796914079846, 56]"
violence,"[0.017212256906362196, 40]"
assessment,"[0.017186218791314625, 34]"
vulnerable,"[0.01703010254092491, 135]"
trillion,"[0.01701748969567583, 44]"
record,"[0.016983150694860717, 94]"
threat,"[0.01686428887475603, 137]"
consumption,"[0.01684423732880885, 35]"
south,"[0.01683150558623507, 94]"
commitment,"[0.016829938866125882, 150]"
ambitious,"[0.01682770544749039, 67]"
gap,"[0.016809634323215118, 36]"
dry,"[0.016751907988555262, 31]"
nations,"[0.01675172575293756, 227]"
fire,"[0.01670991016637315, 51]"
severe,"[0.016707801113346597, 52]"
clean,"[0.016682909839752947, 97]"
green,"[0.016658774366667337, 118]"
agreement,"[0.01664269102204593, 112]"
regional,"[0.01661246386732083, 60]"
activist,"[0.016582753972785243, 38]"
2017,"[0.016558565587804767, 52]"
science,"[0.016525113292125304, 66]"
resource,"[0.016466129860085936, 128]"
read,"[0.016434234287915815, 65]"
vital,"[0.01637734410147689, 63]"
enormous,"[0.016376527007123335, 34]"
urgent,"[0.01637202991183316, 104]"
coast,"[0.016316016090608614, 32]"
country,"[0.016303744751211983, 366]"
sustain,"[0.016281122182185238, 36]"
finance,"[0.01618875925060186, 100]"
restore,"[0.01618799868830642, 45]"
ice,"[0.01617175822563797, 35]"
datum,"[0.01612486658979811, 81]"
scale,"[0.016085919841620628, 108]"
infrastructure,"[0.01603906394110196, 74]"
eat,"[0.016027577620374468, 33]"
convene,"[0.016021447820507795, 42]"
mission,"[0.015987773640319204, 31]"
humanity,"[0.01597255617561731, 49]"
fuel,"[0.01591230063031915, 113]"
gas,"[0.015905931701330967, 137]"
theme,"[0.015895853062148017, 37]"
landmark,"[0.01589221010608865, 41]"
chief,"[0.01588807087161116, 226]"
appeal,"[0.015882583632360826, 43]"
human,"[0.015864982626720127, 203]"
urgently,"[0.01581719886682469, 40]"
education,"[0.01576572519805011, 55]"
expert,"[0.0157465665978977, 71]"
economic,"[0.015699882862112793, 186]"
southern,"[0.015681755468513116, 40]"
young,"[0.015654646237381192, 85]"
aid,"[0.01563561151373588, 42]"
northern,"[0.01563237998936712, 44]"
rapid,"[0.015561925952799063, 33]"
partnership,"[0.015502356653035171, 50]"
project,"[0.015467354957634192, 93]"
affairs,"[0.015433122165132396, 35]"
globe,"[0.015399691419858384, 41]"
effective,"[0.015371589662543268, 59]"
observe,"[0.015333988224531941, 37]"
rapidly,"[0.015329138055356684, 32]"
access,"[0.015307028476362212, 100]"
boost,"[0.01528025905116728, 72]"
alarm,"[0.015263062951838125, 32]"
economy,"[0.015247025889774318, 160]"
develope,"[0.01523368912661122, 149]"
back,"[0.015229865744547839, 31]"
devastate,"[0.015217563938694173, 84]"
agency,"[0.015196232550300996, 184]"
scientific,"[0.015176231588882797, 54]"
objective,"[0.015150414766856283, 34]"
nation,"[0.015143587294875248, 128]"
income,"[0.015120565591987814, 56]"
halt,"[0.015076942358079104, 35]"
enable,"[0.015027286212871737, 38]"
affect,"[0.015026948911616439, 174]"
implement,"[0.014971829564281051, 106]"
surface,"[0.014955101769416902, 33]"
essential,"[0.014943151314372679, 82]"
historic,"[0.014902701068579133, 36]"
sector,"[0.014882593418251044, 135]"
enhance,"[0.014877628250633948, 59]"
pledge,"[0.014871355804448096, 54]"
collective,"[0.014856835767540339, 35]"
conference,"[0.014856552975652379, 140]"
industrial,"[0.01483997805722559, 97]"
natural,"[0.014806398503494519, 122]"
progress,"[0.01480161957735831, 101]"
generation,"[0.014785530092156482, 97]"
council,"[0.014783236981342839, 39]"
urge,"[0.014778535797833696, 122]"
general,"[0.014738177800514063, 289]"
2018,"[0.014712437831439409, 71]"
adopt,"[0.014704712897010563, 80]"
management,"[0.014675852310902467, 88]"
leadership,"[0.014652575058192884, 63]"
practice,"[0.014631505226704427, 71]"
strengthen,"[0.014623925084652769, 59]"
capacity,"[0.01459544451147172, 71]"
protection,"[0.014573283886844984, 82]"
unprecedented,"[0.014572376271258323, 51]"
tackle,"[0.014554305616335255, 109]"
facility,"[0.014453682959271996, 38]"
increasingly,"[0.01442386040282904, 79]"
reduce,"[0.01439547909606249, 178]"
80,"[0.014388847626389893, 31]"
impact,"[0.014380445041905405, 260]"
fundamental,"[0.014335877500430997, 35]"
importance,"[0.014322728563030084, 90]"
outline,"[0.014282545434536949, 51]"
encourage,"[0.014082758736832077, 80]"
transform,"[0.014067992370383484, 32]"
invest,"[0.014052112747359855, 70]"
achieve,"[0.014050337216621491, 162]"
production,"[0.014040268053879396, 70]"
promote,"[0.014019204343681646, 82]"
network,"[0.013978808650814722, 34]"
industry,"[0.013967939835098066, 64]"
world,"[0.013961609487397914, 420]"
central,"[0.013958837611743472, 72]"
consequence,"[0.013919616946254964, 62]"
worldwide,"[0.013889703558197887, 82]"
health,"[0.013868961208763558, 172]"
spread,"[0.013855579762757213, 43]"
spell,"[0.013839063215257569, 40]"
hot,"[0.013782738701173972, 41]"
danger,"[0.013760362458247475, 49]"
damage,"[0.013754865964564161, 106]"
source,"[0.013723077350847853, 68]"
supply,"[0.01369919259560886, 66]"
reverse,"[0.013699054438349156, 46]"
poor,"[0.013669356495037387, 67]"
panel,"[0.01365086430205974, 68]"
debate,"[0.013649909165863143, 33]"
scientist,"[0.013603069386928825, 42]"
security,"[0.013597483804257043, 132]"
healthy,"[0.013576987415709793, 54]"
emphasize,"[0.013514677455099836, 35]"
threaten,"[0.013506706895290885, 83]"
generate,"[0.013498929072210245, 55]"
woman,"[0.01349664231926312, 90]"
session,"[0.01349604939739981, 41]"
rely,"[0.013490063199708073, 34]"
loss,"[0.013478049425290461, 107]"
platform,"[0.013473046543231447, 36]"
road,"[0.013428033103838239, 40]"
tool,"[0.013425275435348407, 59]"
crucial,"[0.013402999036306136, 61]"
address,"[0.01339658639314251, 166]"
de,"[0.013366918679379206, 31]"
priority,"[0.013352041682082308, 68]"
pose,"[0.013303497701563893, 50]"
conclude,"[0.013295849423157102, 82]"
destroy,"[0.013261470219300986, 53]"
visit,"[0.01325570240419531, 46]"
community,"[0.013237696925019232, 243]"
campaign,"[0.013198681949451268, 39]"
define,"[0.013195498338459427, 33]"
shift,"[0.013185702431398919, 67]"
population,"[0.013173978206277706, 116]"
local,"[0.013140399582113453, 110]"
investment,"[0.0131363149895795, 99]"
discussion,"[0.013125973182966657, 48]"
eastern,"[0.013050023993419459, 35]"
momentum,"[0.013044658917746331, 36]"
union,"[0.013000888595257139, 36]"
contribute,"[0.012994862335223732, 113]"
voice,"[0.01298372993165232, 45]"
occur,"[0.012978810935336474, 39]"
message,"[0.012940322233127527, 83]"
stress,"[0.012912315019890461, 138]"
report,"[0.01290313227894346, 211]"
part,"[0.012880291905753545, 70]"
technology,"[0.012871705882510789, 105]"
recover,"[0.012871203844153307, 36]"
european,"[0.012805393563974057, 33]"
inspire,"[0.012766694096356293, 31]"
partner,"[0.012743089932720912, 78]"
prime,"[0.012740782100976579, 38]"
girl,"[0.01272259430611018, 35]"
representative,"[0.012706062109838615, 61]"
heavy,"[0.012692756916655584, 36]"
manage,"[0.012677206777859476, 81]"
highlight,"[0.012671490848746617, 118]"
immediate,"[0.012655944688909194, 39]"
remark,"[0.012649640308614464, 33]"
ensure,"[0.01259142086608924, 139]"
express,"[0.012557023058752578, 54]"
save,"[0.01250564289316512, 71]"
recognize,"[0.012504375507389205, 51]"
relate,"[0.012503244435563596, 112]"
civil,"[0.01249877236401037, 79]"
war,"[0.012479890163676996, 41]"
benefit,"[0.012467178932902768, 99]"
west,"[0.01244940542583741, 35]"
trade,"[0.01244899324216274, 55]"
assess,"[0.012425964383393577, 31]"
trend,"[0.012425251605616206, 57]"
society,"[0.012421172657411399, 128]"
support,"[0.012406365931177993, 264]"
concrete,"[0.012396661377687702, 49]"
net,"[0.01238191941966858, 47]"
activity,"[0.012377159574520739, 81]"
ongoing,"[0.01229780899781223, 40]"
east,"[0.01229358565263142, 63]"
europe,"[0.012268996214320406, 37]"
june,"[0.0122573824645492, 45]"
bank,"[0.012243457138565228, 32]"
necessary,"[0.01222427555378613, 43]"
warn,"[0.012222302663664433, 166]"
secure,"[0.012208348194805995, 35]"
develop,"[0.012208216938928571, 46]"
dangerous,"[0.01219063627110584, 36]"
citizen,"[0.012165436227014168, 34]"
maker,"[0.012068759592587483, 42]"
associate,"[0.012022748439373324, 31]"
wind,"[0.012011715917026357, 48]"
level,"[0.011991858878643976, 262]"
leader,"[0.01197017042371244, 135]"
effort,"[0.01196842965269342, 200]"
policy,"[0.011948956121408252, 123]"
response,"[0.011947368770565367, 92]"
journalist,"[0.01193960993460704, 34]"
brief,"[0.01192576071343882, 49]"
engage,"[0.011923472165179276, 40]"
strategy,"[0.011919406826420507, 67]"
significantly,"[0.011889842221901769, 36]"
commit,"[0.01187817455338438, 106]"
future,"[0.011801675572606854, 194]"
school,"[0.011801107738149075, 60]"
rise,"[0.011800132492715895, 229]"
information,"[0.011790151479100393, 58]"
improve,"[0.011763765180123406, 118]"
determine,"[0.011748899318289676, 34]"
2016,"[0.01173319370760385, 50]"
international,"[0.011705081186593623, 259]"
safe,"[0.011692243480952928, 64]"
aim,"[0.011683568250686395, 105]"
death,"[0.0116751256141895, 73]"
produce,"[0.011658398018678615, 68]"
states,"[0.011644039621353835, 167]"
minister,"[0.011623534559949699, 61]"
cite,"[0.011609912592188956, 36]"
commission,"[0.011595451200359656, 31]"
century,"[0.011564833141389369, 97]"
demonstrate,"[0.011560984646260214, 38]"
house,"[0.011559489196229693, 40]"
challenge,"[0.011559227597264986, 167]"
speaking,"[0.011551749173795943, 39]"
chair,"[0.011548435854702362, 36]"
movement,"[0.011529190329220356, 31]"
thousand,"[0.011486363377248529, 75]"
responsible,"[0.01145583639698987, 48]"
effect,"[0.011436073553042561, 121]"
70,"[0.011415373455775835, 45]"
authority,"[0.011412701680238566, 52]"
document,"[0.011394092621905683, 31]"
responsibility,"[0.011392440876186809, 50]"
vision,"[0.011391862295960894, 32]"
assist,"[0.011386001969627068, 34]"
opportunity,"[0.011383249536376, 149]"
growth,"[0.011361671562153102, 76]"
promise,"[0.01133287264820411, 35]"
agendum,"[0.011325178947699898, 31]"
critical,"[0.011315572148101787, 87]"
story,"[0.011315446284694268, 58]"
launch,"[0.011291334938627464, 117]"
fund,"[0.011284871121504943, 108]"
increase,"[0.011281129811196822, 249]"
path,"[0.011263865517978436, 38]"
safety,"[0.011250374616208926, 32]"
welcome,"[0.01124231834650077, 40]"
according,"[0.01122894321378313, 89]"
strike,"[0.011182163419413608, 50]"
advance,"[0.011135852321132598, 49]"
potentially,"[0.011134336980849039, 35]"
particular,"[0.011132107010367443, 36]"
insist,"[0.011130476374937713, 36]"
power,"[0.011116855138107532, 110]"
organization,"[0.01108827871899729, 225]"
social,"[0.011081745401233172, 120]"
actor,"[0.011049619083095116, 33]"
host,"[0.011028841002133671, 62]"
depend,"[0.011025329002167315, 47]"
limit,"[0.010980241303119307, 117]"
design,"[0.01097957874738121, 37]"
approach,"[0.010976787733490737, 59]"
event,"[0.010951057751690033, 153]"
target,"[0.010949545892579715, 103]"
political,"[0.010945292891470147, 110]"
gather,"[0.010936762451508857, 51]"
suffer,"[0.010924689822942889, 89]"
small,"[0.010901859641361802, 115]"
pre,"[0.010891044416527378, 84]"
united,"[0.010862464086913649, 272]"
lie,"[0.010858712459103225, 35]"
average,"[0.010837986077833114, 75]"
2015,"[0.010811128794689644, 121]"
product,"[0.010789053294962343, 50]"
establish,"[0.010775041309410063, 54]"
emerge,"[0.010769900172813566, 31]"
hour,"[0.01075143827473584, 37]"
potential,"[0.010739510371226339, 85]"
condition,"[0.010739146504313244, 86]"
push,"[0.010729524016420532, 56]"
america,"[0.010724653885263481, 44]"
study,"[0.010685408939960893, 50]"
factor,"[0.010680516733213366, 39]"
declare,"[0.010674000609928099, 42]"
50,"[0.010669318155964783, 42]"
example,"[0.010663001027301939, 110]"
bear,"[0.010660007678369133, 36]"
mark,"[0.010651183180038716, 82]"
special,"[0.010643109549529186, 89]"
decade,"[0.010639842397734389, 114]"
system,"[0.010630425267785735, 141]"
indicate,"[0.010625085867299197, 38]"
individual,"[0.010611695438824951, 55]"
join,"[0.010604257148150421, 48]"
positive,"[0.010554396370777853, 54]"
pressure,"[0.010530484566926875, 38]"
rate,"[0.010527518891707279, 43]"
worker,"[0.010520174104819906, 33]"
key,"[0.010465744169120026, 172]"
90,"[0.010460761949391155, 39]"
value,"[0.010422273624584286, 38]"
contain,"[0.010408246992258124, 39]"
maintain,"[0.010407619307270919, 65]"
respond,"[0.010404614357221668, 53]"
fully,"[0.010388194202368044, 35]"
success,"[0.010362009524227495, 41]"
role,"[0.01035682717360053, 111]"
decline,"[0.010313997397024112, 41]"
fight,"[0.010301823764784552, 102]"
estimate,"[0.010292405552096867, 86]"
cost,"[0.01028242950772035, 92]"
prepare,"[0.010269640374218169, 48]"
deep,"[0.010245138219427371, 42]"
area,"[0.010239494123764988, 186]"
billion,"[0.01023691889776006, 125]"
negative,"[0.01023029295610363, 35]"
financial,"[0.010229203222124542, 66]"
million,"[0.010219510590860082, 235]"
city,"[0.010217104589009516, 139]"
addition,"[0.010205472594983394, 74]"
avoid,"[0.01019365561919202, 64]"
build,"[0.010187133250531222, 185]"
people,"[0.010181508822914773, 372]"
focus,"[0.01017455337868296, 139]"
learn,"[0.010156789936805676, 57]"
capital,"[0.010156407838003577, 78]"
carry,"[0.010142525058988213, 33]"
present,"[0.0101422084514044, 80]"
currently,"[0.010140852289790442, 56]"
heart,"[0.010120452909383107, 37]"
45,"[0.010116885064539203, 32]"
gain,"[0.010115024546056858, 33]"
december,"[0.010104488077968115, 61]"
annual,"[0.010091609275763037, 68]"
measure,"[0.010080702473437782, 106]"
president,"[0.01007127715485688, 83]"
cause,"[0.010061586317653802, 155]"
cover,"[0.010048545028120914, 50]"
draw,"[0.010040609622272432, 33]"
discuss,"[0.010035243918856171, 48]"
town,"[0.010029509996075518, 35]"
attention,"[0.010018092301534625, 47]"
situation,"[0.009957223331790914, 89]"
17,"[0.00994851208446458, 39]"
november,"[0.009944252103117814, 40]"
goal,"[0.00993273978304776, 122]"
link,"[0.009927222735632901, 73]"
23,"[0.00992349987959228, 34]"
september,"[0.009908532402358613, 104]"
lack,"[0.009892713899296227, 75]"
space,"[0.009878421087400184, 32]"
explain,"[0.009871688357634911, 100]"
july,"[0.009862074339481029, 36]"
prevent,"[0.009840782296227634, 72]"
tuesday,"[0.009814271388756715, 75]"
national,"[0.009809168945127289, 147]"
ahead,"[0.009807564304135954, 95]"
common,"[0.009794769887372549, 52]"
video,"[0.009788744035624882, 33]"
right,"[0.009782329995461372, 132]"
amid,"[0.009748468360629783, 40]"
publish,"[0.00974621160647258, 39]"
entire,"[0.009724500567753593, 32]"
private,"[0.009715801076754797, 97]"
deliver,"[0.009706663636404341, 74]"
october,"[0.009696520458812837, 45]"
huge,"[0.009677696741565295, 49]"
additional,"[0.009668023844796177, 31]"
monday,"[0.009625506464299936, 91]"
statement,"[0.00962052335526352, 72]"
reality,"[0.009604917077456013, 37]"
thursday,"[0.009584336203308126, 79]"
60,"[0.009566178013742392, 41]"
kill,"[0.009553069809416547, 54]"
require,"[0.00953206807642752, 106]"
reveal,"[0.009524943540209822, 43]"
cent,"[0.009511573655026258, 218]"
particularly,"[0.009506252794426594, 95]"
period,"[0.0094992716593809, 53]"
evidence,"[0.009484355878522355, 40]"
review,"[0.00946457145146468, 31]"
service,"[0.009439625766701256, 81]"
track,"[0.009438849924012815, 55]"
need,"[0.009422739748742354, 343]"
saturday,"[0.009421920831633027, 32]"
exist,"[0.009410719217954578, 53]"
fast,"[0.009392120715921444, 73]"
middle,"[0.009354186073811518, 33]"
senior,"[0.009327903442215475, 37]"
ability,"[0.009325728885420534, 35]"
identify,"[0.009320663890038846, 36]"
die,"[0.009318137991594866, 35]"
life,"[0.00930961452079545, 147]"
significant,"[0.009308852938629958, 71]"
able,"[0.00929078248371814, 72]"
dollar,"[0.009287820349235986, 34]"
strong,"[0.009285432064181547, 104]"
overall,"[0.009277222025522752, 35]"
meet,"[0.00927399263355805, 177]"
hundred,"[0.00925784732683571, 53]"
co,"[0.009233479964505065, 39]"
understand,"[0.00923163548473845, 71]"
describe,"[0.009219539199589795, 79]"
provide,"[0.009202657991554387, 204]"
grow,"[0.009200686676141271, 149]"
single,"[0.009175113583817618, 44]"
decision,"[0.0091686065581505, 97]"
director,"[0.009148044388363589, 100]"
care,"[0.009146500383216042, 48]"
live,"[0.00912498469512424, 212]"
stop,"[0.009122573850635965, 51]"
40,"[0.00912222537998029, 48]"
demand,"[0.0091100913589508, 60]"
number,"[0.009104840071406595, 31]"
100,"[0.009044664672039293, 77]"
idea,"[0.009040563363770958, 31]"
grind,"[0.009037626208949072, 52]"
operation,"[0.009025365475216304, 36]"
daily,"[0.009022429917572287, 59]"
wave,"[0.008991077929457233, 32]"
fail,"[0.008985566066175364, 38]"
slow,"[0.008972444545757557, 43]"
reach,"[0.00894500898610697, 134]"
create,"[0.008921851185354974, 124]"
business,"[0.008919336360290653, 110]"
agree,"[0.008915331266203997, 79]"
stand,"[0.00890205846158947, 50]"
friday,"[0.008858608508064365, 76]"
act,"[0.008849436570740724, 88]"
moment,"[0.008845098921387157, 41]"
note,"[0.008840719028792333, 168]"
executive,"[0.008834249616945199, 75]"
acknowledge,"[0.00882469424201793, 35]"
range,"[0.00878312971279688, 57]"
especially,"[0.008782580251117066, 90]"
announce,"[0.00877822058282126, 64]"
wide,"[0.00877552823823212, 49]"
price,"[0.00873479224722169, 57]"
travel,"[0.008708730750874897, 37]"
government,"[0.008683383436007273, 247]"
research,"[0.008680443204993052, 41]"
represent,"[0.008625330510709458, 59]"
age,"[0.008624201736722752, 32]"
concern,"[0.008622137488979645, 91]"
body,"[0.008610617216626327, 58]"
refer,"[0.00860960304954283, 33]"
difficult,"[0.008601606682973382, 41]"
hand,"[0.008601238158189042, 51]"
main,"[0.00858456372575007, 61]"
raise,"[0.008562906374898115, 86]"
account,"[0.008546406648828112, 66]"
important,"[0.008535025611501802, 119]"
force,"[0.008528709550889541, 97]"
available,"[0.008500718795625192, 43]"
process,"[0.008496462837931243, 77]"
accord,"[0.008478189072767582, 156]"
use,"[0.008474142301837238, 163]"
step,"[0.008458625127213952, 107]"
season,"[0.0084289218545362, 41]"
wednesday,"[0.008408276043908746, 65]"
possible,"[0.008389536469088205, 76]"
job,"[0.008381899051622692, 80]"
hope,"[0.008354360093521796, 79]"
difference,"[0.008348450234816458, 34]"
hit,"[0.008298531120255572, 79]"
cut,"[0.008287602095158934, 64]"
term,"[0.008252179048528221, 121]"
north,"[0.008240479737605578, 61]"
seek,"[0.008231895129679496, 42]"
office,"[0.008206787889569734, 74]"
press,"[0.008190294059284125, 54]"
14,"[0.008184057227626242, 33]"
total,"[0.008174779872485476, 55]"
non,"[0.008159106258925077, 50]"
nearly,"[0.008139084080957664, 73]"
law,"[0.008121952598852192, 33]"
march,"[0.008116233498573565, 55]"
state,"[0.008100497171556625, 172]"
keep,"[0.008080793673973645, 43]"
today,"[0.008048637771939393, 116]"
help,"[0.008038787827210375, 227]"
problem,"[0.008021910643811584, 95]"
numb,"[0.008003039470157323, 108]"
major,"[0.007981302644081196, 161]"
family,"[0.007980994807702882, 69]"
plan,"[0.007975265448107777, 153]"
drive,"[0.007967407058022416, 75]"
different,"[0.007963098822602193, 68]"
release,"[0.00795176201804428, 91]"
party,"[0.007943861838346031, 50]"
likely,"[0.00792501924467979, 75]"
york,"[0.007918178910699951, 107]"
issue,"[0.007889344257095436, 157]"
continue,"[0.007889221141497487, 223]"
result,"[0.007851560326162459, 99]"
face,"[0.007849841974144798, 166]"
